ID,hexaco_HH,hexaco_E,hexaco_X,hexaco_A,hexaco_C,hexaco_O,Machiavellianism,Narcissism,Psychopathy,power_harassment,gender_harassment,age,gender,area
SBZ0107,2.7,3.1,3.2,3.1,3,2.9,3.6,3,3.1,2.2,3.4,30,0,Kanto
SBZ0108,3,3,3.1,3.7,3,2.7,3.8,2.3,2.2,1.3,1,30,1,Kyushu
SBZ0109,4.1,4.2,1.4,3.5,4.6,2.8,3.7,1.6,2,1,1,50,1,Kanto
SBZ0110,3.6,3.9,2.7,2.6,4,2.7,3.7,2.4,2,1,1.1,40,1,Kanto
SBZ0111,4,2.9,2.8,3.2,2,3,3.3,1.9,2.4,1,2.8,30,1,Kanto
SBZ0112,3.3,3.9,3.2,3,2.9,3.4,3.2,2.6,2.1,1,2.4,40,1,Kanto
SBZ0113,3.6,4.2,2.1,2.5,2.7,2.8,3.2,1.6,2.9,1,1.9,40,1,Kanto
SBZ0114,2.9,3.1,2.6,2.9,3.1,3,3.6,1.7,1.6,1,1,20,0,Chugoku
SBZ0115,3.3,3.5,1.4,3,2.7,1.7,3.3,1.3,2.4,1.1,1.2,40,0,Kanto
SBZ0116,3.3,3,3.3,3,3,3.9,3.3,2.9,2.7,1.6,3.1,60,0,Kanto
SBZ0117,3.1,4.1,2,2.7,2.9,2,3.7,1.9,2.4,1,2.4,40,1,Tohoku
SBZ0118,3.9,4.1,1.1,1.7,2.9,2.7,4.6,1.3,2.2,1.3,1.5,30,0,Kanto
SBZ0119,2.6,3.1,3.1,2.9,2.9,3,3.6,3.1,3.1,1,2.9,40,0,Kanto
SBZ0120,3.4,3.1,3,2.5,2.9,2.5,3.3,2,2.4,1.1,1.5,40,1,Kanto
SBZ0121,3.5,3.3,2.6,3,3.1,3.2,3.2,2.6,2.7,1.2,1.9,30,0,Tohoku
SBZ0122,3.4,4.1,1.8,2.2,3.6,4.2,4,2.2,2.6,1.1,1.8,30,1,Kinki
SBZ0123,3.4,4.2,2,2.7,2.8,3.8,3.8,2,2.7,1,1,30,1,Tohoku
SBZ0124,2.7,4,1.9,1.3,2.5,2.4,4.1,1.9,2.3,1.4,1.6,30,1,Shikoku
SBZ0125,3.7,2.9,2.3,2.5,3.5,2.5,4.2,2,1.9,1.2,1.2,20,1,Tokai
SBZ0126,4,2.7,2,2.7,4.1,3.6,3,2.4,3.3,1.2,2.9,30,0,Kanto
SBZ0127,3.3,3,3.2,4.2,2.5,2.2,3.1,2.8,1.3,1.1,1.3,40,1,Kanto
SBZ0128,3.2,3,4.1,3.7,3.6,4,3.6,3.1,2.6,1.5,3.3,50,0,Kanto
SBZ0129,3.6,3.4,2.2,3,3.3,3.2,2.8,2.9,1.9,1.2,2.9,30,1,Kanto
SBZ0130,3.6,3.4,1.8,1.5,3.4,3.9,3.9,1.4,3,1.2,1.2,20,1,Tokai
SBZ0131,3.3,3.2,3,3.3,2.8,3.4,3.3,2,2.7,1,1,30,1,Okinawa
